Africa|['æfrikə]|n.非洲|0|0
America|[ə'merikə]|n.美国|1|0
August|[ɔːˈɡʌst]|n.八月|1|0
Australia|[ɔ:s'treiljə]|n.澳大利亚|0|0
Australian|[ɔ:s'treiljən]|adj.澳大利亚人|0|0
BASIC|[ˈbeɪsɪk]|n. (电脑)初学者通用符号指令码|0|0
Berlin|[bə:'lin]|n.柏林|0|0
Boston|[ˈbɔːstən]|n.波士顿(美国马萨诸塞州的首府)|0|0
Brazil|[brə'zɪl]|n.巴西|0|0
Britain|[britən]|n.英国，不列颠|0|0
British|[ˈbrɪtɪʃ]|adj.英国人的|0|0
CD player|[ˌsiː ˈdiː ˈpleɪər]|phr.激光唱机|0|0
Canada|['kænədə]|加拿大|0|0
Canadian|[kə'neidiən]|n.加拿大人|0|0
Canon|[ˈkænən]|n.佳能（照相机牌名）|0|0
China|[ˈtʃaɪnə]|n. 中国|0|0
Chinese|['tʃai'ni:z]|adj. 中国的,中国人的；n. 中国人,汉语|0|0
Christmas|['krisməs]|n.圣诞节|0|0
DVD|[di: vi: di:]|n.光碟,影碟|0|0
December|[dɪˈsɛmbər]|n.十二月|0|0
England|[ˈɪŋɡlənd]|n. 英格兰|0|0
English|['iŋgliʃ]|n. & adj. 英语,英国人|0|0
Englishman|['iŋgliʃmən]|n(pl.Englishmen)英国(男)人|0|0
February|[ˈfɛbrʊəri]|n. 二月|0|0
France|[frɑ:ns]|n.法国|0|0
French|[frentʃ]|n.法语|0|0
Frenchman|[frentʃmən]|n.法国人|0|0
Friday|['fraidi]|n.星期五|0|0
Germany|[dʒə:məni]|n.德国|0|0
Gobi Desert|[gəubi dezət]|n.戈壁沙漠|0|0
Here you are|[hɪr ju: ɑr]|phr. 给你|0|0
Hong Kong|[hɔːŋ kɔːŋ]|n. 香港|0|0
How are you？|[haʊ ɑr ju:]|询问句 你(身体)好吗?|0|0
How do you do ?|[haʊ də juː duː]|phr. 你好!|0|0
I|[ai]|pron. 我|0|0
I'll|[aɪl]|I will 的缩写形式|0|0
I'm|[aim]|phr. I am 的缩写形式|0|0
ID|[aɪ diː]|n. 身份征|0|0
Indian|['indiən]|n. & adj.印度人(的),印第安人(的)|0|0
Internet|['intə,net]|n.因特网，互联网络|0|0
It's|[its]|phr. it is 的缩写形式|0|0
Italian|[i'tæljən]|n. & adj.意大利人(的),意大利语(的)|0|0
Italy|['itəli]|n.意大利|0|0
Its|[its]|pron. 它的|0|0
January|[ˈdʒænjuˌɛri]|n.一月|0|0
Japan|[dʒə'pæn]|n.日本|0|0
Japanese|[,dʒæpə'ni:z]|adj. 日本的,日本人；n. 日本人，日语|0|0
July|[dʒʊˈlaɪ]|n.七月|0|0
June|[dʒun]|n.六月|0|0
Let me see|[lɛt miː siː]|phr. 让我想想|0|0
Let's go|[lets ɡəʊ]|phr. 我们一起去|0|0
London|[ˈlʌndən]|n. 伦敦|0|0
Macao|[məˈkaʊ]|n. 澳门|0|0
March|[mɑrtʃ]|n.三月|0|0
Microsoft|[ˈmaɪkrəˌsɒft]|n. 微软公司|0|0
Miss|[miss]|n. 女士,小姐(对未婚妇女的称呼)|0|0
Monday|['mʌndei]|n.星期一|0|0
Moscow|['mɔskəu]|n.莫斯科|0|0
Mr|[mistə]|n. 先生(用于姓名前)|0|0
Mrs|['mɪsɪz]|n. 夫人|0|0
Ms|[mɪz]|n.女士(用于婚姻状况不明的女名)|0|0
New York|['nju:leid]|n.纽约|0|0
No|[nəʊ]|n. number 的缩写形式|0|0
November|[nəu'vembə]|n.十一月|0|0
OK|[ə'kei]|adv. (口语)好,对,不错,可以|0|0
October|[ɔk'təubə]|n.十月|0|0
Olympic|[əˈlɪmpɪk]|adj.奥林匹克的|0|0
PE|[piːˈiː]|n. 体育|0|0
Peking opera|[ˈpiːkɪŋ ˈɑpərə]|n.京剧|0|0
Rome|[rəum]|n.罗马(意大利首都)|0|0
Russian|[ˈrʌʃən]|n & adj. 俄国的,俄国人(的), 俄语(的)|0|0
SAR|[ˌɛs ˌeɪ ˈɑːr]|n. 特别行政区|0|0
Saturday|['sætədi]|n.星期六|0|0
Scotland|[ˈskɑtlənd]|n.苏格兰|0|0
September|[sep'tembə]|n.九月|0|0
Spring Festival|[spriŋ 'festivəl]|n.春节|0|0
Sunday|['sʌndi]|n.星期日|0|0
Sydney|[ˈsɪdni]|n. 悉尼|0|0
T-shirt|[ˈtiːʃɜːt]|n. 短袖无领汗衫,T恤(衫)|0|0
TV|[ˌtiːˈviː]|n. 电视,电视机|0|0
Thanksgiving&=&Thanksgiving Day|[θæŋks'giviŋ deɪ]|phr.感恩节|0|0
This way,please.|[ðɪs weɪ pliːz]|phr. 请走这边|0|0
Thursday|['θə:zdi]|n.星期四|0|0
Titanic|[taɪˈtænɪk]|n.泰坦尼克(船名)|0|0
Tokyo|[ˈtoʊkioʊ]|n. 东京|0|0
Toronto|[tə'rɔntəu]|n.多伦多(加拿大港市)|0|0
Tuesday|[ˈtjuːzdeɪ]|n. 星期二|0|0
Turkey|[tə:ki]|n.土耳其|0|0
USA|[ˌjuːˌɛsˈeɪ]|n.美国|0|0
Washington|[ˈwɒʃɪŋtən]|n. 华盛顿|0|0
Wednesday|['wenzdi]|n.星期三|0|0
What about...?|[wʌt əˈbaʊt]|phr. (询问消息,征求意 见)…怎么样?|0|0
Young Pioneer|[jʌŋ ˈpaɪəˌnɪr]|n. 少先队员|0|0
a|[ei]|art. 一(个,件...)|0|0
a TV set|[ə ti:vi: set]|phr.一台电视|0|0
a bit|[ə'bit]|phr.一点儿|0|0
a bit (of)|[ə bit (əv)]|phr.少量(的),一点|0|0
a bottle of|[ə ˈbɒtl ʌv]|phr. 一瓶...|0|0
a few|[ə fju:]|phr.一些,几个|0|0
a place of interest|[ə pleɪs ʌv ˈɪntrəst]|phr.名胜|0|0
a.m.|[ˌeɪ ˈɛm]|n. 午前,上午|0|0
able|['eibl]|adj.有能力的，能干的|0|0
about|[əˈbaʊt]|adv. 大约|0|0
above|[əˈbʌv]|prep.在...上面|0|0
abroad|[əˈbrɔːd]|adv.到国外；在国外|0|0
accident|[ˈæksɪdənt]|n.事故,灾难|0|0
across|[ə'krɔ:s]|prep.穿过,横过|0|0
active|[ˈæktɪv]|adj. 积极的|0|0
activity|[æk'tɪvəti]|n.活动|0|0
ad|[æd]|n.广告|0|0
address|[əˈdrɛs]|n. 地址|0|0
aeroplane|[ɛərəplein]|n.飞机|0|0
afford|[əˈfɔːrd]|v. 有足够的(钱/时间)做(某事)|0|0
afraid|[ə'freid]|adj.害怕的|0|0
after|[ˈɑːftər]|prep. 在...以后,在...后面|0|0
after a while|[ˈɑːftər ə waɪl]|phr.过了一会儿|0|0
afternoon|[ˌæftərˈnuːn]|n. 下午,午后|0|0
again|[ə'gen]|adv.又,再|0|0
again and again|[əˈgɛn ənd əˈgɛn]|phr.再三地,一再地,反复地|0|0
against|[ə'genst]|prep.与…对抗，对着|0|0
age|[eɪdʒ]|n. 年龄|0|0
agree|[ə'gri:]|v.同意,赞成|0|0
air|[ɛə]|n.天空,空气|0|0
alike|[ə'laik]|adj.相似的，相像的|0|0
alive|[əˈlaɪv]|adj.活着的|0|0
all|[ɔ:l]|adv.全体;全部|0|0
all by oneself|[ɔːl baɪ wʌnˈsɛlf]|phr.独立,单独|0|0
all over|[ɔːl ˈoʊvər]|phr.遍及|0|0
all right|[ɔ:l raɪt]|phr. 好,行,不错|0|0
all the year round|[ɔl ðə jɪr raʊnd]|phr.一年到头|0|0
allow|[ə'lau]|v.允许，准许|0|0
almost|[ˈɔːlməʊst]|adv. 几乎,差不多|0|0
alone|[əˈləʊn]|adv.独自的,单独的|0|0
along|[ə'lɔŋ]|prep.沿着,顺着 一起,一道|0|0
already|[ɔːlˈrɛdi]|adv.已经|0|0
also|['ɔ:lsəu]|adv.也|0|0
although|[ɔːlˈðoʊ]|conj.虽然；尽管|0|0
am|[æm]|v. 是|0|0
amaze|[ə'meiz]|v.使…大为惊讶，使惊|0|0
amazing|[əˈmeɪzɪŋ]|adj.令人惊奇的|0|0
among|[əˈmʌŋ]|prep.在……当中|0|0
an|[æn]|art. 一(个;件.)|0|0
and|[ænd]|conj. 和,又,而|0|0
angel|[eindʒəl]|n.天使，守护神|0|0
angry|[ˈæŋɡri]|adj.发怒的,生气的|0|0
animal|[ˈænɪməl]|n. 动物|0|0
another|[ə'nʌðə]|adj&conj.另一个(的),又一个(的)|0|0
answer|[ˈænsər]|v. 回答|0|0
any|[ˈɛni]|adj. (用于否定句,疑问句等)什么,任何|0|0
any more|[ˈeni mɔːr]|phr.再,更|0|0
anybody|[ˈɛnɪbɒdi]|pron.任何人|0|0
anyone|[ˈɛniwʌn]|pron.任何人|0|0
anything|['eni,θiŋ]|pron.任何事(物)|0|0
anytime|[ˈɛniˌtaɪm]|adv.在任何时候|0|0
anywhere|[ˈɛnɪhwɛə]|adv.任何地方|0|0
appear|[ə'piə]|v.出现，露面|0|0
apple|['æpl]|n. 苹果|0|0
are|[ɑ:]|v. 是|0|0
aren't|[ɑ:nt]|are not 的缩写形式|0|0
arm|[ɑːrm]|n. 手臂;胳膊|0|0
around|[ə'raund]|prep.在...周围,环绕着|0|0
arrive|[əˈraɪv]|v.到达,抵达某地|0|0
art|[ɑːrt]|n.艺术,艺术品|0|0
artist|['ɑ:tist]|n.画家,艺术家|0|0
as|[æz]|prep.作为|0|0
as if|[æz ɪf]|conj.好像，似乎|0|0
as soon as|[æz suːn æz]|conj.一...就|0|0
as well|[əz wel]|adv.又，同样地|0|0
ask|[ɑːsk]|v. 问|0|0
asleep|[əˈsliːp]|adj.睡着的,熟睡的|0|0
assistant|[ə'sistənt]|n.助手,助理|0|0
at|[æt]|prep. 在|0|0
at all|[æt ɔːl]|phr.（用否定句）一点也不|0|0
at home|[ət həum]|phr. 在家|0|0
